# Time-averaged data for fix ave
# TimeStep v_rho v_p v_muex v_n1
1000 0.53624 1.39785 0.00144076 64.19
2000 0.53128 1.37137 0.020274 63.41
3000 0.53472 1.38922 0.00702045 63.68
4000 0.52744 1.2995 0.0339186 63.1
5000 0.5364 1.42375 0.000657412 64
6000 0.5332 1.39451 0.0142166 63.7
7000 0.53688 1.42075 -0.00128878 63.82
8000 0.52736 1.43483 0.0343806 62.43
9000 0.53072 1.45281 0.0216836 63.23
10000 0.52712 1.41435 0.0349786 62.44
